Region,År,datakalla,Variabel,Värde
Halmstad,2026,prognos,Inrikes utflyttade,4380.391259400603
Halmstad,2027,prognos,Inrikes flyttnetto,110.2445147933222
Halmstad,2027,prognos,Inrikes inflyttade,4518.404725389752
Halmstad,2027,prognos,Inrikes utflyttade,4408.160210596429
Halmstad,2028,prognos,Inrikes flyttnetto,94.61960196957989
Halmstad,2028,prognos,Inrikes inflyttade,4525.97508578909
Halmstad,2028,prognos,Inrikes utflyttade,4431.3554838195105
Halmstad,2029,prognos,Inrikes flyttnetto,91.98053272634024
Halmstad,2029,prognos,Inrikes inflyttade,4540.079434931366
Halmstad,2029,prognos,Inrikes utflyttade,4448.098902205026
Halmstad,2030,prognos,Inrikes flyttnetto,98.63069835965689
Halmstad,2030,prognos,Inrikes inflyttade,4564.834243948455
Halmstad,2030,prognos,Inrikes utflyttade,4466.203545588798
Halmstad,2031,prognos,Inrikes flyttnetto,92.72824542307353
Halmstad,2031,prognos,Inrikes inflyttade,4588.3498071386675
Halmstad,2031,prognos,Inrikes utflyttade,4495.621561715594
Halmstad,2032,prognos,Inrikes flyttnetto,83.9495070210196
Halmstad,2032,prognos,Inrikes inflyttade,4609.443261118607
Halmstad,2032,prognos,Inrikes utflyttade,4525.493754097587
Halmstad,2033,prognos,Inrikes flyttnetto,72.23289322947676
Halmstad,2033,prognos,Inrikes inflyttade,4627.257573250001
Halmstad,2033,prognos,Inrikes utflyttade,4555.024680020524
Halmstad,2034,prognos,Inrikes flyttnetto,58.99540069970317
Halmstad,2034,prognos,Inrikes inflyttade,4640.436663818369
Halmstad,2034,prognos,Inrikes utflyttade,4581.441263118666
Halmstad,2035,prognos,Inrikes flyttnetto,46.79058908432671
Halmstad,2035,prognos,Inrikes inflyttade,4648.976644402732
Halmstad,2035,prognos,Inrikes utflyttade,4602.186055318405
Halmstad,2036,prognos,Inrikes flyttnetto,36.0206522355038
Halmstad,2036,prognos,Inrikes inflyttade,4653.101264272253
Halmstad,2036,prognos,Inrikes utflyttade,4617.080612036749
Halmstad,2037,prognos,Inrikes flyttnetto,26.714807565584124
Halmstad,2037,prognos,Inrikes inflyttade,4653.217812823383
Halmstad,2037,prognos,Inrikes utflyttade,4626.503005257799
Halmstad,2038,prognos,Inrikes flyttnetto,18.867381123035557
Halmstad,2038,prognos,Inrikes inflyttade,4649.6835633435585
Halmstad,2038,prognos,Inrikes utflyttade,4630.816182220523
Halmstad,2039,prognos,Inrikes flyttnetto,11.953712779260968
Halmstad,2039,prognos,Inrikes inflyttade,4642.871262266162
Halmstad,2039,prognos,Inrikes utflyttade,4630.917549486901
Halmstad,2040,prognos,Inrikes flyttnetto,6.328003877880292
Halmstad,2040,prognos,Inrikes inflyttade,4633.12568111292
Halmstad,2040,prognos,Inrikes utflyttade,4626.797677235039
Hylte,2000,historisk,Inrikes flyttnetto,-35
Hylte,2000,historisk,Inrikes inflyttade,375
Hylte,2000,historisk,Inrikes utflyttade,410
Hylte,2001,historisk,Inrikes flyttnetto,-91
Hylte,2001,historisk,Inrikes inflyttade,366
Hylte,2001,historisk,Inrikes utflyttade,457
Hylte,2002,historisk,Inrikes flyttnetto,-86
Hylte,2002,historisk,Inrikes inflyttade,345
Hylte,2002,historisk,Inrikes utflyttade,431
Hylte,2003,historisk,Inrikes flyttnetto,-51
Hylte,2003,historisk,Inrikes inflyttade,404
Hylte,2003,historisk,Inrikes utflyttade,455
Hylte,2004,historisk,Inrikes flyttnetto,-22
Hylte,2004,historisk,Inrikes inflyttade,393
Hylte,2004,historisk,Inrikes utflyttade,415
Hylte,2005,historisk,Inrikes flyttnetto,-108
Hylte,2005,historisk,Inrikes inflyttade,344
Hylte,2005,historisk,Inrikes utflyttade,452
Hylte,2006,historisk,Inrikes flyttnetto,-132
Hylte,2006,historisk,Inrikes inflyttade,369
Hylte,2006,historisk,Inrikes utflyttade,501
Hylte,2007,historisk,Inrikes flyttnetto,-239
Hylte,2007,historisk,Inrikes inflyttade,350
Hylte,2007,historisk,Inrikes utflyttade,589
Hylte,2008,historisk,Inrikes flyttnetto,-70
Hylte,2008,historisk,Inrikes inflyttade,383
Hylte,2008,historisk,Inrikes utflyttade,453
Hylte,2009,historisk,Inrikes flyttnetto,-105
Hylte,2009,historisk,Inrikes inflyttade,356
Hylte,2009,historisk,Inrikes utflyttade,461
Hylte,2010,historisk,Inrikes flyttnetto,-143
Hylte,2010,historisk,Inrikes inflyttade,364
Hylte,2010,historisk,Inrikes utflyttade,507
Hylte,2011,historisk,Inrikes flyttnetto,-105
Hylte,2011,historisk,Inrikes inflyttade,390
Hylte,2011,historisk,Inrikes utflyttade,495
Hylte,2012,historisk,Inrikes flyttnetto,-149
Hylte,2012,historisk,Inrikes inflyttade,391
Hylte,2012,historisk,Inrikes utflyttade,540
Hylte,2013,historisk,Inrikes flyttnetto,-153
Hylte,2013,historisk,Inrikes inflyttade,398
Hylte,2013,historisk,Inrikes utflyttade,551
Hylte,2014,historisk,Inrikes flyttnetto,-34
Hylte,2014,historisk,Inrikes inflyttade,578
Hylte,2014,historisk,Inrikes utflyttade,612
Hylte,2015,historisk,Inrikes flyttnetto,-230
Hylte,2015,historisk,Inrikes inflyttade,542
Hylte,2015,historisk,Inrikes utflyttade,772
Hylte,2016,historisk,Inrikes flyttnetto,-179
Hylte,2016,historisk,Inrikes inflyttade,562
Hylte,2016,historisk,Inrikes utflyttade,741
Hylte,2017,historisk,Inrikes flyttnetto,-276
Hylte,2017,historisk,Inrikes inflyttade,574
Hylte,2017,historisk,Inrikes utflyttade,850
Hylte,2018,historisk,Inrikes flyttnetto,-277
Hylte,2018,historisk,Inrikes inflyttade,495
Hylte,2018,historisk,Inrikes utflyttade,772
Hylte,2019,historisk,Inrikes flyttnetto,-186
Hylte,2019,historisk,Inrikes inflyttade,511
Hylte,2019,historisk,Inrikes utflyttade,697
Hylte,2020,historisk,Inrikes flyttnetto,-214
Hylte,2020,historisk,Inrikes inflyttade,592
Hylte,2020,historisk,Inrikes utflyttade,806
Hylte,2021,historisk,Inrikes flyttnetto,-101
Hylte,2021,historisk,Inrikes inflyttade,549
Hylte,2021,historisk,Inrikes utflyttade,650
Hylte,2022,historisk,Inrikes flyttnetto,-191
Hylte,2022,historisk,Inrikes inflyttade,493
Hylte,2022,historisk,Inrikes utflyttade,684
Hylte,2023,historisk,Inrikes flyttnetto,-121
Hylte,2023,historisk,Inrikes inflyttade,464
Hylte,2023,historisk,Inrikes utflyttade,585
Hylte,2024,historisk,Inrikes flyttnetto,-88
Hylte,2024,historisk,Inrikes inflyttade,440
Hylte,2024,historisk,Inrikes utflyttade,528
Hylte,2025,historisk,Inrikes flyttnetto,-105
Hylte,2025,historisk,Inrikes inflyttade,406
Hylte,2025,historisk,Inrikes utflyttade,511
Hylte,2026,prognos,Inrikes flyttnetto,-112.48741331554675
Hylte,2026,prognos,Inrikes inflyttade,479.11143864732026
Hylte,2026,prognos,Inrikes utflyttade,591.598851962867
Hylte,2027,prognos,Inrikes flyttnetto,-106.48951438441094
Hylte,2027,prognos,Inrikes inflyttade,478.5576881925097
Hylte,2027,prognos,Inrikes utflyttade,585.0472025769207
Hylte,2028,prognos,Inrikes flyttnetto,-99.8946065933917
Hylte,2028,prognos,Inrikes inflyttade,477.90948332127823
Hylte,2028,prognos,Inrikes utflyttade,577.8040899146699
Hylte,2029,prognos,Inrikes flyttnetto,-92.45021094435202
Hylte,2029,prognos,Inrikes inflyttade,477.8794167233286
Hylte,2029,prognos,Inrikes utflyttade,570.3296276676806
Hylte,2030,prognos,Inrikes flyttnetto,-84.53797572062393
Hylte,2030,prognos,Inrikes inflyttade,478.94280834101113
Hylte,2030,prognos,Inrikes utflyttade,563.4807840616351
Hylte,2031,prognos,Inrikes flyttnetto,-78.12995656790406
Hylte,2031,prognos,Inrikes inflyttade,480.0862223234561
Hylte,2031,prognos,Inrikes utflyttade,558.2161788913602
Hylte,2032,prognos,Inrikes flyttnetto,-72.46162107937505
Hylte,2032,prognos,Inrikes inflyttade,481.26423388552723
Hylte,2032,prognos,Inrikes utflyttade,553.7258549649023
Hylte,2033,prognos,Inrikes flyttnetto,-67.02454944010151
Hylte,2033,prognos,Inrikes inflyttade,482.4363572405259
Hylte,2033,prognos,Inrikes utflyttade,549.4609066806274
Hylte,2034,prognos,Inrikes flyttnetto,-62.02180464285226
Hylte,2034,prognos,Inrikes inflyttade,483.44722018421106
Hylte,2034,prognos,Inrikes utflyttade,545.4690248270633
Hylte,2035,prognos,Inrikes flyttnetto,-57.400843879567105
Hylte,2035,prognos,Inrikes inflyttade,484.299366143263
Hylte,2035,prognos,Inrikes utflyttade,541.7002100228301
Hylte,2036,prognos,Inrikes flyttnetto,-52.756049383381594
Hylte,2036,prognos,Inrikes inflyttade,484.99107745924874
