Region,År,datakalla,Variabel,Värde
Kungsbacka,2018,historisk,Födelsenetto,207
Kungsbacka,2019,historisk,Födda,805
Kungsbacka,2019,historisk,Döda,573
Kungsbacka,2019,historisk,Födelsenetto,232
Kungsbacka,2020,historisk,Födda,763
Kungsbacka,2020,historisk,Döda,643
Kungsbacka,2020,historisk,Födelsenetto,120
Kungsbacka,2021,historisk,Födda,778
Kungsbacka,2021,historisk,Döda,678
Kungsbacka,2021,historisk,Födelsenetto,100
Kungsbacka,2022,historisk,Födda,742
Kungsbacka,2022,historisk,Döda,682
Kungsbacka,2022,historisk,Födelsenetto,60
Kungsbacka,2023,historisk,Födda,702
Kungsbacka,2023,historisk,Döda,690
Kungsbacka,2023,historisk,Födelsenetto,12
Kungsbacka,2024,historisk,Födda,696
Kungsbacka,2024,historisk,Döda,652
Kungsbacka,2024,historisk,Födelsenetto,44
Kungsbacka,2025,historisk,Födda,660
Kungsbacka,2025,historisk,Döda,697
Kungsbacka,2025,historisk,Födelsenetto,-37
Kungsbacka,2026,prognos,Födda,647.4250374979916
Kungsbacka,2026,prognos,Döda,757.9963966692786
Kungsbacka,2026,prognos,Födelsenetto,-110.57135917128699
Kungsbacka,2027,prognos,Födda,640.5010823418295
Kungsbacka,2027,prognos,Döda,770.3984252595078
Kungsbacka,2027,prognos,Födelsenetto,-129.89734291767832
Kungsbacka,2028,prognos,Födda,633.5075962700084
Kungsbacka,2028,prognos,Döda,786.3596267999873
Kungsbacka,2028,prognos,Födelsenetto,-152.85203052997883
Kungsbacka,2029,prognos,Födda,636.7241376920349
Kungsbacka,2029,prognos,Döda,802.446874924646
Kungsbacka,2029,prognos,Födelsenetto,-165.72273723261105
Kungsbacka,2030,prognos,Födda,641.1422743752391
Kungsbacka,2030,prognos,Döda,818.3122453764039
Kungsbacka,2030,prognos,Födelsenetto,-177.16997100116475
Kungsbacka,2031,prognos,Födda,649.3594003405224
Kungsbacka,2031,prognos,Döda,834.2072832887466
Kungsbacka,2031,prognos,Födelsenetto,-184.8478829482242
Kungsbacka,2032,prognos,Födda,660.3559623531629
Kungsbacka,2032,prognos,Döda,850.7340608174395
Kungsbacka,2032,prognos,Födelsenetto,-190.3780984642766
Kungsbacka,2033,prognos,Födda,673.8556424498262
Kungsbacka,2033,prognos,Döda,867.2183066999821
Kungsbacka,2033,prognos,Födelsenetto,-193.36266425015594
Kungsbacka,2034,prognos,Födda,676.9521635165437
Kungsbacka,2034,prognos,Döda,883.482457213968
Kungsbacka,2034,prognos,Födelsenetto,-206.53029369742433
Kungsbacka,2035,prognos,Födda,682.6395560469322
Kungsbacka,2035,prognos,Döda,896.7414375804459
Kungsbacka,2035,prognos,Födelsenetto,-214.10188153351373
Kungsbacka,2036,prognos,Födda,688.7232147935712
